Switcher position [A.U],Switcher position [mm],delta Y [mm],Rate [counts/s],Rate error [counts/s],Guides overlap,Guide-area-corr rate [counts/s],Guide-area-corr rate error [counts/s],Turbine overlap,Turbine-area-corr rate [counts/s],Turbine-area-corr rate err [counts/s]
-122.4,268.61051350192884,719.7433219031291,201.31666666666666,1.8317417333723054,0.9377897299614233,214.64290961986788,1.9967543636729237,1.0,214.64290961986788,1.9967543636729237
-72.2,268.261501928847,720.0919031290184,199.43333333333334,1.823153556036597,0.94476996142306,211.0668126200631,1.9680667148881734,1.0,211.0668126200631,1.9680667148881734
-5.9,267.800556365195,720.5522803257609,197.31666666666666,1.8134528146911104,0.9539888726960999,206.8125609519309,1.9325428014204167,1.0,206.8125609519309,1.9325428014204167
47.2,267.431382768967,720.920998714102,198.08333333333334,1.8169724513291028,0.9613723446206598,206.02498558420024,1.9163254582747924,1.0,206.02498558420024,1.9163254582747924
114.5,266.9634847835405,721.3883197599657,196.8,1.8110770276274832,0.9707303043291904,202.72099588654416,1.885457209343951,1.0,202.72099588654416,1.885457209343951
159.6,266.64993056150877,721.7014873553366,195.55,1.8053162234541256,0.9770013887698247,200.143124508126,1.8632495739590185,1.0,200.143124508126,1.8632495739590185
225.1,266.1945469352765,722.1563094727818,195.86666666666667,1.8067773643823535,0.9861090612944702,198.61970774907596,1.8414659527205506,1.0,198.61970774907596,1.8414659527205506
286.6,265.76697299614233,722.583356193742,195.55,1.8053162234541256,0.9946605400771534,196.59742812061793,1.8185274961581608,1.0,196.59742812061793,1.8185274961581608
345.0,265.3609515645092,722.9888769824261,192.63333333333333,1.791802320445968,0.9972190312901842,193.16933539421532,1.7986278513564562,1.0,193.16933539421532,1.7986278513564562
384.8,265.08424517788256,723.265242177454,190.25,1.7806833894135512,0.9916849035576513,191.84160596377365,1.801112385980926,1.0,191.84160596377365,1.801112385980926
437.5,264.71785255036434,723.6311830261466,190.65,1.7825543469975889,0.9843570510072869,193.67288865036218,1.8213026592321002,1.0,193.67288865036218,1.8213026592321002
508.7,264.22284012001717,724.1255850835834,184.43333333333334,1.753250948634818,0.9744568024003434,189.2565676632199,1.8163973395970199,1.0,189.2565676632199,1.8163973395970199
590.2,263.6562177453922,724.6915087869696,182.71666666666667,1.7450724276596021,0.9631243549078442,189.69597145818065,1.836993734212516,1.0,189.69597145818065,1.836993734212516
664.6,263.13895756536647,725.2081311615946,178.86666666666667,1.7265894448626493,0.9527791513073294,187.7101964881681,1.844660668411799,1.0,187.7101964881681,1.844660668411799
730.0,262.6842691813116,725.6622588941277,178.91666666666666,1.7268307515342796,0.9436853836262321,189.56789464536237,1.8690113735214102,1.0,189.56789464536237,1.8690113735214102
784.7,262.3039717102443,726.042087441063,178.13333333333333,1.7230463977760115,0.9360794342048859,190.2678778979116,1.8854830598208705,1.0,190.2678778979116,1.8854830598208705
841.0,261.9125503643378,726.4330261465924,175.45,1.7100194930662829,0.9282510072867558,188.97813905516477,1.8928807404065195,1.0,188.97813905516477,1.8928807404065195
906.5,261.45716673810546,726.8878482640378,171.81666666666666,1.6922207631131085,0.9191433347621092,186.89348201069706,1.898770255155647,1.0,186.89348201069706,1.898770255155647
958.9,261.0928598371196,727.251705957994,168.96666666666667,1.6781272630855837,0.9118571967423919,185.2579174291365,1.9037261214358108,1.0,185.2579174291365,1.9037261214358108
1025.0,260.63330475782254,727.7106943849121,169.75,1.682012683265696,0.9026660951564509,188.0076667679684,1.9340914678946584,1.0,188.0076667679684,1.9340914678946584
