Switcher position [A.U],Switcher position [mm],delta Y [mm],Rate [counts/s],Rate error [counts/s],Guides overlap,Guide-area-corr rate [counts/s],Guide-area-corr rate error [counts/s],Turbine overlap,Turbine-area-corr rate [counts/s],Turbine-area-corr rate err [counts/s]
12440.7,181.26654350621516,713.7795927989713,327013.95,73.83,0.9552363358030735,341869.6516433122,81.97590845815131,1.0,341869.6516433122,81.97590845815131
12490.6,180.91961765966568,714.1260908701242,324221.35,73.51,0.9502802522809382,340661.76977347565,82.5882412935842,1.0,340661.76977347565,82.5882412935842
12835.1,178.5245083583369,716.5182468924132,303720.43,71.15,0.9160644051190985,330632.9471581347,86.83184178272772,1.0,330632.9471581347,86.83184178272772
13276.0,175.45918559794256,719.5797899699957,277691.52,68.03,0.872274079970608,316889.2291388735,92.63440684338794,1.0,316889.2291388735,92.63440684338794
13681.5,172.63997856836693,722.395520788684,254133.4,65.08,0.8319996938338132,303429.6752863519,98.41353455230202,1.0,303429.6752863519,98.41353455230202
14529.9,166.74154393484784,728.2866823831976,206712.55,58.7,0.7477363419263976,273077.4231104085,112.24058682387998,1.0,273077.4231104085,112.24058682387998
15538.4,159.73002657522505,735.2895542220317,155074.7,50.84,0.6475718082175007,234028.7457839326,132.93169666419016,1.0,234028.7457839326,132.93169666419016
16846.9,150.63278268324046,744.3755807972567,99513.3,40.73,0.5176111811891494,182935.40644611648,171.88361672692184,1.0,182935.40644611648,171.88361672692184
18017.3,142.49566823831975,752.5026618088298,60977.8,31.88,0.40136668911885354,137010.54019185022,228.5773423039285,1.0,137010.54019185022,228.5773423039285
20020.7,128.5671864552079,766.4139691384484,20233.08,18.36,0.20238837793154119,60561.59896425174,484.8161895938304,0.9829635580029096,61611.23519909013,493.21888451168337
25166.2,92.79350021431634,802.1435447921132,15974.65,16.32,0.0,0.0,0.0,0.6692759241584059,0.0,0.0
